,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
nl Ajax,21,6,20,12.8,9.17,8.17,2.67,6.67,15.3,43.5,8.67,139.7,49.7,35.6,45.3,65,29.3,15.8,2.83,0.17,13,9.83,29.8,23,0.5
it Atalanta,25,8,20.5,12.6,10,8.25,2.25,7.13,20,35.6,12.9,140,40.8,29.1,47.3,62.1,30.6,15.1,3.75,0,11.4,13.3,33.8,21.9,0.25
es Atlético Madrid,20,8,18.3,11.3,8,7.25,3,6.75,18.1,37.2,11.4,144.4,46.6,32.3,48.6,61.3,34.5,15.8,3.38,0,12.4,9.5,27.8,23.5,0.25
es Barcelona,27,8,14.6,10.8,4.88,6,3.75,4.13,14.9,27.7,10.8,132.6,40.3,30.3,29.9,59.4,43.4,11.9,2.5,0,9.38,9.75,24.4,7.75,0.13
tr Ba?ak?ehir,21,6,13.8,9.17,7.17,5,1.67,4.83,17.5,27.6,12.7,146.3,41.7,28.5,53.8,62.5,30,20.7,5.5,0,15.2,12.7,26.5,17.8,0.17
de Bayern Munich,26,10,18.1,9.6,8,7.3,2.8,6.8,19.7,34.5,12.9,167.4,51,30.5,44,73.5,49.9,13.5,2.6,0.1,10.9,11.1,29.2,14.9,0.1
eng Chelsea,24,10,16.6,10.2,7.8,6.7,2.1,4.9,13.7,35.8,8.8,127,40.4,31.8,40,58.4,28.6,18.6,3.9,0,14.7,9.1,25.7,24.3,0.4
be Club Brugge,22,6,16.2,9.83,6.83,6.83,2.5,5.67,12.5,45.3,6.83,143.8,39.5,27.5,42.7,65.3,35.8,14.8,3.67,0,11.2,11.5,27.7,15.7,0.33
de Dortmund,26,10,16.8,11.1,7.5,7,2.3,4.9,14.6,33.6,9.7,147.3,43.1,29.3,52.6,59.5,35.2,15.8,3.7,0.1,12.1,10.5,27.3,20.1,0.5
ua Dynamo Kyiv,22,6,16.5,9.67,8.17,7,1.33,5.83,19,30.7,13.2,141.2,31.8,22.6,53.5,64.3,23.3,18,3,0,15,12.7,29.2,23,0
hu Ferencváros,20,6,16.2,11.2,9.67,5,1.5,6.5,16.7,39,10.2,136.8,38.2,27.9,49.8,58.7,28.3,14.5,3.5,0.17,11,9,25.2,14.3,0.83
it Inter,21,6,14.5,9.17,3.67,7.83,3,4.5,15.8,28.4,11.3,122.2,35.2,28.8,33.2,54.8,34.2,13.2,2.5,0,10.7,7.5,22,10.8,0.17
it Juventus,22,8.3,17.6,12.2,7.47,7.95,2.17,7.35,18.3,40.1,11,119.9,35.2,29.3,35.2,54.3,30.4,12.7,2.77,0,9.88,9.04,26.6,13.6,0.6
ru Krasnodar,23,6,14.7,8.83,6.33,6.17,2.17,5.67,17.3,32.7,11.7,116.5,31.3,26.9,43.2,54,19.3,18.2,5.83,0,12.3,10.5,25.2,23,0.5
it Lazio,25,8,17.5,10.8,10.3,6.25,1,5.38,17.9,30.1,12.5,119.6,38,31.8,53.8,48.8,17.1,16.5,3,0,13.5,13.8,31.3,19.1,0.25
eng Liverpool,29,10,15.2,9.8,7.3,6.5,1.4,4.3,14.5,29.7,10.2,146,46.7,32,38.2,71.7,36.1,16.2,2.1,0.2,14.1,11.3,26.5,19.5,0.7
ru Loko Moscow,22,6,15.7,7.67,10.7,4,1,6.5,20.2,32.2,13.7,131.3,37.2,28.3,66.8,44.5,20,18.8,5.5,0.33,13.3,13.8,29.5,33.3,0.33
de M'Gladbach,21,8,17.3,11.6,10,5.5,1.75,7.5,21.5,34.9,14,142.1,34.5,24.3,47.6,66.5,28,19.1,4.38,0,14.8,12.8,30,17.8,0.25
eng Manchester City,25,10,14.3,9.4,4,6.8,3.5,4.6,12.4,37.1,7.8,118.9,36.3,30.5,16.8,56.6,45.5,10.4,1.8,0,8.6,10.7,25,13.3,0.4
eng Manchester Utd,23,6,16.3,10.2,5.67,7.5,3.17,5.33,14,38.1,8.67,149.3,49.2,32.9,41.3,69.5,38.5,15.7,2.83,0,12.8,9.5,25.8,15.7,0.17
fr Marseille,20,6,18.5,11.8,10.2,6.5,1.83,6.17,16.3,37.8,10.2,141.5,43.7,30.9,42.8,68.7,30,13.3,2.5,0,10.8,6.83,25.3,15.7,0.33
dk Midtjylland,22,6,19,12.5,9.5,7.17,2.33,7.5,17.3,43.3,9.83,135.5,48.2,35.5,46.2,61.2,28.2,15.2,2.17,0,13,11.5,30.5,18.7,0.83
gr Olympiacos,21,6,14.3,8.67,5.17,7.67,1.5,6.33,18.8,33.6,12.5,129.2,36.8,28.5,44.5,59.2,25.5,14.3,2.83,0,11.5,11.2,25.5,17,0.17
fr Paris S-G,23,10,18.3,11.5,9.7,6.7,1.9,7.5,21.8,34.4,14.3,134.3,40.9,30.5,54,55.1,25.2,18.1,4.6,0,13.5,12.1,30.4,21.5,0.3
pt Porto,26,10.3,16.8,10,8.64,6.8,1.36,5.34,14.5,36.9,9.13,141.9,36.7,25.9,46.4,67.7,27.9,17,3.69,0.19,13.3,10.1,26.9,25.1,0.29
de RB Leipzig,20,8,21.8,14.8,9.13,10.3,2.38,6.75,21.1,32,14.4,178.4,58.4,32.7,52.4,86.5,39.5,15.3,2.5,0,12.8,12.6,34.4,18.6,0.63
at RB Salzburg,19,6,22.3,15,9.67,9.83,2.83,7,22,31.8,15,168.5,55,32.6,51,84.2,33.3,19,3.17,0.33,15.8,10.2,32.5,27.3,0
es Real Madrid,25,10,18.9,11.5,9.4,6.5,3,7.7,18.6,41.4,10.9,141.4,44,31.1,48.9,57.6,34.9,14.6,1.7,0,12.9,11.5,30.4,14,0.2
fr Rennes,26,6,16.3,11.5,8.33,6,2,4.17,14.3,29.1,10.2,112.5,35.7,31.7,35.5,53.3,23.7,13.7,2.5,0.17,11.2,4.83,21.2,17.3,0.33
es Sevilla,25,8,13.5,8.75,5,6.5,2,5.75,17.8,32.4,12,116.9,39.4,33.7,30.9,57.9,28.1,15.6,3.75,0.25,11.9,10,23.5,17.9,0.13
ua Shakhtar,23,6,12.2,8.5,8.17,2.83,1.17,4.17,13.8,30.1,9.67,122.7,36,29.3,57.7,43.8,21.2,17.7,3.67,0,14,7.17,19.3,26.7,0.5
ru Zenit,21,6,17.8,12,11,4.83,2,5.5,19.5,28.2,14,142.5,42.2,29.6,54.8,56.3,31.3,17.5,3.33,0.17,14.2,9.17,27,18.3,0.17
