Squad,Poss,G+A-PK,npxG+xA,TotalTouches,TouchesD3,TouchesM3,TouchesA3,TklWon,TklD3,TklM3,TklA3,TotalPressures,SuccessfulPressures,Press%,PressD3,PressM3,PressA3,PassesCompleted,PassesAttempted,PassCompletion%
Ajax,56.3,1.83,2.36,682.8,244.2,320.2,162.3,12.8,9.17,8.17,2.67,139.7,49.7,35.6,45.3,65,29.3,445.2,563.3,79
Atalanta,46.3,2.62,2.66,626.6,198,302.9,163.5,12.6,10,8.25,2.25,140,40.8,29.1,47.3,62.1,30.6,402.4,506.5,79.4
Atletico Madrid,48.6,1.62,1.85,635.1,181.4,307.1,181.8,11.3,8,7.25,3,144.4,46.6,32.3,48.6,61.3,34.5,411.4,520.6,79
Barcelona,62.8,3,3.26,869.6,176.1,429,317.1,10.8,4.88,6,3.75,132.6,40.3,30.3,29.9,59.4,43.4,695.4,772.6,90
Basaksehir,42.8,2,1.45,576.7,210.2,263.8,138.8,9.17,7.17,5,1.67,146.3,41.7,28.5,53.8,62.5,30,361.5,464,77.9
Bayern Munich,59.8,4,2.99,749.8,219.6,368,218.4,9.6,8,7.3,2.8,167.4,51,30.5,44,73.5,49.9,542.3,638.3,85
Chelsea,55.5,2.6,2.27,720.1,224.3,354.7,181.5,10.2,7.8,6.7,2.1,127,40.4,31.8,40,58.4,28.6,509.4,602.1,84.6
Club Brugge,50.2,1.67,1.79,653.5,200.2,303.7,191,9.83,6.83,6.83,2.5,143.8,39.5,27.5,42.7,65.3,35.8,447.3,553,80.9
Dortmund,49.4,2.8,2.5,700.3,211.3,341.5,195,11.1,7.5,7,2.3,147.3,43.1,29.3,52.6,59.5,35.2,508.7,593.5,85.7
Dynamo Kyiv,42,0.67,1.34,601.2,252.3,272.7,116.7,9.67,8.17,7,1.33,141.2,31.8,22.6,53.5,64.3,23.3,404.5,490,82.6
Ferencvaros,43.8,1.17,1.15,624.2,271,292.8,103.8,11.2,9.67,5,1.5,136.8,38.2,27.9,49.8,58.7,28.3,432.7,521.3,83
Inter,50.2,2.17,2.21,652.7,195.8,329.2,166.7,9.17,3.67,7.83,3,122.2,35.2,28.8,33.2,54.8,34.2,466.8,560.7,83.3
Juventus,55.1,3.48,2.81,730,187.8,399.5,188.7,12.2,7.47,7.95,2.17,119.9,35.2,29.3,35.2,54.3,30.4,542.2,630.2,86
Krasnodar,37.2,1.5,1.88,519.8,185.5,239.5,122,8.83,6.33,6.17,2.17,116.5,31.3,26.9,43.2,54,19.3,298.5,402.3,74.2
Lazio,44.6,2.12,2.25,610.5,235,283.1,135.8,10.8,10.3,6.25,1,119.6,38,31.8,53.8,48.8,17.1,413.6,499.6,82.8
Liverpool,52.2,2.3,2.73,700.5,219.9,353.8,170.8,9.8,7.3,6.5,1.4,146,46.7,32,38.2,71.7,36.1,475.7,584.2,81.4
Loko Moscow,38.8,1,1.05,522.2,235.3,218.3,92.2,7.67,10.7,4,1,131.3,37.2,28.3,66.8,44.5,20,285.3,386.8,73.8
Monchen Gladbach,41.5,2.75,1.84,593.9,254.1,272.4,97.4,11.6,10,5.5,1.75,142.1,34.5,24.3,47.6,66.5,28,407.9,493.1,82.7
Manchester City,62.2,3.4,3,841.2,169.6,488.8,234.4,9.4,4,6.8,3.5,118.9,36.3,30.5,16.8,56.6,45.5,663.7,748.3,88.7
Manchester Utd,51,2.83,2.45,647,191.2,302.2,190.5,10.2,5.67,7.5,3.17,149.3,49.2,32.9,41.3,69.5,38.5,441.3,535,82.5
Marseille,50.7,0,0.88,628.5,236.8,315.7,112.3,11.8,10.2,6.5,1.83,141.5,43.7,30.9,42.8,68.7,30,438,534,82
Midtjylland,42,0.67,1.51,537.5,197.2,249.8,125.7,12.5,9.5,7.17,2.33,135.5,48.2,35.5,46.2,61.2,28.2,306.7,425.7,72
Olympiacos,48.5,0.67,1.14,622.5,233.3,312.5,110.3,8.67,5.17,7.67,1.5,129.2,36.8,28.5,44.5,59.2,25.5,420.2,527.2,79.7
Paris SG,48.4,3.2,2.89,640.6,248.3,297.1,131.2,11.5,9.7,6.7,1.9,134.3,40.9,30.5,54,55.1,25.2,428.1,516.3,82.9
Porto,39.6,1.65,1.28,511.7,203.2,229.3,106.2,10,8.64,6.8,1.36,141.9,36.7,25.9,46.4,67.7,27.9,297.9,392.7,75.8
RB Leipzig,52.5,2.5,2.13,669.6,222.3,326.6,162.8,14.8,9.13,10.3,2.38,178.4,58.4,32.7,52.4,86.5,39.5,438.8,554.3,79.2
RB Salzburg,49.2,2.5,3.22,622.5,185.3,303,167.7,15,9.67,9.83,2.83,168.5,55,32.6,51,84.2,33.3,369,488.7,75.5
Real Madrid,57.6,2.7,2.71,797.6,214.7,416.6,215.5,11.5,9.4,6.5,3,141.4,44,31.1,48.9,57.6,34.9,597.5,688.3,86.8
Rennes,49.7,0.33,1.69,630.7,199.3,315.3,152.5,11.5,8.33,6,2,112.5,35.7,31.7,35.5,53.3,23.7,428,529.5,80.8
Sevilla,60.6,2.5,2.15,736.3,207.6,375.1,197.4,8.75,5,6.5,2,116.9,39.4,33.7,30.9,57.9,28.1,529.3,626.6,84.5
Shakhtar,46.2,1.17,1.19,619.7,261.2,290.7,103,8.5,8.17,2.83,1.17,122.7,36,29.3,57.7,43.8,21.2,429.8,508.8,84.5
Zenit,45.7,1,1.39,616.5,214.3,280,161,12,11,4.83,2,142.5,42.2,29.6,54.8,56.3,31.3,406.2,510.3,79.6
