,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
nl Ajax,21,56.3,6,682.8,81.5,244.2,320.2,162.3,22.8,638.3,10.3,16,64.6,10.8,0.5,429,2109,1206.5,44,16,5,12.5,12.7,530.7,445.2,83.9,41.2
it Atalanta,25,46.3,8,626.6,55.4,198,302.9,163.5,23.1,582.5,9.38,17.5,53.6,10.3,0.88,383.1,2047.3,1008.9,45.9,13.4,4.75,13.3,11.8,487.4,402.4,82.6,41.9
es Atlético Madrid,20,48.6,8,635.1,61.4,181.4,307.1,181.8,27.5,585.4,11.9,17.9,66.4,12.9,0.38,396.4,1749.6,978.5,41.8,13,4.13,9.88,12.1,493.8,411.4,83.3,41.9
es Barcelona,27,62.8,8,869.6,55.3,176.1,429,317.1,38.6,829,15.9,26,61.1,17,1.38,643.5,2844.9,1506.3,69.6,20,6.75,7.5,13.1,759.3,695.4,91.6,52.6
tr Ba?ak?ehir,21,42.8,6,576.7,70.8,210.2,263.8,138.8,16.8,532.8,9.17,16.8,54.5,9.83,1.33,351.2,1926.2,981.5,39.8,14.3,3,12.3,9,439.5,361.5,82.3,28.5
de Bayern Munich,26,59.8,10,749.8,66.1,219.6,368,218.4,32.6,704.1,13.6,21.2,64.2,14.2,0.8,511.9,2861.2,1614.8,67.3,19.6,5.8,12.1,12,615,542.3,88.2,46
eng Chelsea,24,55.5,10,720.1,74.4,224.3,354.7,181.5,22.6,676.8,10.2,16.6,61.4,11,0.1,461.5,2202.2,1158.7,47,14.3,6,14,11.7,579.6,509.4,87.9,36.5
be Club Brugge,22,50.2,6,653.5,62.5,200.2,303.7,191,21,608.2,11,17.7,62.3,12.2,1.17,450.3,2178.5,1071.8,42.7,15,3.33,9.67,12.3,523.7,447.3,85.4,37.7
de Dortmund,26,49.4,10,700.3,73.5,211.3,341.5,195,25.2,660.4,8.7,14.8,58.8,9,0.7,455,2422.9,1366.9,58,18.4,4.7,10.9,9.1,572.8,508.7,88.8,37.6
ua Dynamo Kyiv,22,42,6,601.2,87.7,252.3,272.7,116.7,15.7,558.3,8.17,12.8,63.6,8.83,0.33,389.2,1917.3,998.7,33.8,10,3,10.2,9.5,464.5,404.5,87.1,25.5
hu Ferencváros,20,43.8,6,624.2,83.2,271,292.8,103.8,15,578.8,7.5,13.5,55.6,8.33,0.17,402.7,2031.8,1060.7,35.3,9.83,1.5,13,12.2,509.2,432.7,85,26.5
